Designator,Footprint,Quantity,Value,LCSC Part #
"BT1_12, BT1_11, BT1_10, BT1_9, BT1_8, BT1_7, BT1_6, BT1_5, BT1_4, BT1_3, BT1_2, BT1",BF@QJ-BS-6,12,CR2032,C70377
"C1_12, C1_11, C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_12, C2_11, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_12, C3_11, C3_10, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C4_12, C4_11, C4_10, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4",0603,48,100n,C14663
"D1_12, D1_11, D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1",0603,12,A-Win,C965805
"D2_12, D2_11, D2_10, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2",0603,12,Draw,C72038
"D3_12, D3_11, D3_10, D3_9, D3_8, D3_7, D3_6, D3_5, D3_4, D3_3, D3_2, D3",0603,12,B-Win,C2286
"D4_12, D4_11, D4_10, D4_9, D4_8, D4_7, D4_6, D4_5, D4_4, D4_3, D4_2, D4",0603,12,Pilot,C7429913
"KiKit_MB_10_2, KiKit_MB_10_3, KiKit_MB_10_4, KiKit_MB_10_5, KiKit_MB_10_6, KiKit_MB_10_7, KiKit_MB_10_8, KiKit_MB_10_9, KiKit_MB_11_2, KiKit_MB_11_3, KiKit_MB_11_4, KiKit_MB_11_5, KiKit_MB_11_6, KiKit_MB_11_7, KiKit_MB_11_8, KiKit_MB_11_9, KiKit_MB_12_2, KiKit_MB_12_3, KiKit_MB_12_4, KiKit_MB_12_5, KiKit_MB_12_6, KiKit_MB_12_7, KiKit_MB_12_8, KiKit_MB_12_9, KiKit_MB_13_2, KiKit_MB_13_3, KiKit_MB_13_4, KiKit_MB_13_5, KiKit_MB_13_6, KiKit_MB_13_7, KiKit_MB_13_8, KiKit_MB_13_9, KiKit_MB_14_2, KiKit_MB_14_3, KiKit_MB_14_4, KiKit_MB_14_5, KiKit_MB_14_6, KiKit_MB_14_7, KiKit_MB_14_8, KiKit_MB_14_9, KiKit_MB_15_2, KiKit_MB_15_3, KiKit_MB_15_4, KiKit_MB_15_5, KiKit_MB_15_6, KiKit_MB_15_7, KiKit_MB_15_8, KiKit_MB_15_9, KiKit_MB_16_2, KiKit_MB_16_3, KiKit_MB_16_4, KiKit_MB_16_5, KiKit_MB_16_6, KiKit_MB_16_7, KiKit_MB_16_8, KiKit_MB_16_9, KiKit_MB_17_2, KiKit_MB_17_3, KiKit_MB_17_4, KiKit_MB_17_5, KiKit_MB_17_6, KiKit_MB_17_7, KiKit_MB_17_8, KiKit_MB_17_9, KiKit_MB_18_2, KiKit_MB_18_3, KiKit_MB_18_4, KiKit_MB_18_5, KiKit_MB_18_6, KiKit_MB_18_7, KiKit_MB_18_8, KiKit_MB_18_9, KiKit_MB_19_2, KiKit_MB_19_3, KiKit_MB_19_4, KiKit_MB_19_5, KiKit_MB_19_6, KiKit_MB_19_7, KiKit_MB_19_8, KiKit_MB_19_9, KiKit_MB_1_2, KiKit_MB_1_3, KiKit_MB_1_4, KiKit_MB_1_5, KiKit_MB_1_6, KiKit_MB_1_7, KiKit_MB_1_8, KiKit_MB_1_9, KiKit_MB_20_2, KiKit_MB_20_3, KiKit_MB_20_4, KiKit_MB_20_5, KiKit_MB_20_6, KiKit_MB_20_7, KiKit_MB_20_8, KiKit_MB_20_9, KiKit_MB_21_2, KiKit_MB_21_3, KiKit_MB_21_4, KiKit_MB_21_5, KiKit_MB_21_6, KiKit_MB_21_7, KiKit_MB_21_8, KiKit_MB_21_9, KiKit_MB_22_2, KiKit_MB_22_3, KiKit_MB_22_4, KiKit_MB_22_5, KiKit_MB_22_6, KiKit_MB_22_7, KiKit_MB_22_8, KiKit_MB_22_9, KiKit_MB_23_2, KiKit_MB_23_3, KiKit_MB_23_4, KiKit_MB_23_5, KiKit_MB_23_6, KiKit_MB_23_7, KiKit_MB_23_8, KiKit_MB_23_9, KiKit_MB_24_2, KiKit_MB_24_3, KiKit_MB_24_4, KiKit_MB_24_5, KiKit_MB_24_6, KiKit_MB_24_7, KiKit_MB_24_8, KiKit_MB_24_9, KiKit_MB_25_2, KiKit_MB_25_3, KiKit_MB_25_4, KiKit_MB_25_5, KiKit_MB_25_6, KiKit_MB_25_7, KiKit_MB_25_8, KiKit_MB_25_9, KiKit_MB_26_2, KiKit_MB_26_3, KiKit_MB_26_4, KiKit_MB_26_5, KiKit_MB_26_6, KiKit_MB_26_7, KiKit_MB_26_8, KiKit_MB_26_9, KiKit_MB_27_2, KiKit_MB_27_3, KiKit_MB_27_4, KiKit_MB_27_5, KiKit_MB_27_6, KiKit_MB_27_7, KiKit_MB_27_8, KiKit_MB_27_9, KiKit_MB_28_2, KiKit_MB_28_3, KiKit_MB_28_4, KiKit_MB_28_5, KiKit_MB_28_6, KiKit_MB_28_7, KiKit_MB_28_8, KiKit_MB_28_9, KiKit_MB_29_2, KiKit_MB_29_3, KiKit_MB_29_4, KiKit_MB_29_5, KiKit_MB_29_6, KiKit_MB_29_7, KiKit_MB_29_8, KiKit_MB_29_9, KiKit_MB_2_2, KiKit_MB_2_3, KiKit_MB_2_4, KiKit_MB_2_5, KiKit_MB_2_6, KiKit_MB_2_7, KiKit_MB_2_8, KiKit_MB_2_9, KiKit_MB_30_2, KiKit_MB_30_3, KiKit_MB_30_4, KiKit_MB_30_5, KiKit_MB_30_6, KiKit_MB_30_7, KiKit_MB_30_8, KiKit_MB_30_9, KiKit_MB_31_2, KiKit_MB_31_3, KiKit_MB_31_4, KiKit_MB_31_5, KiKit_MB_31_6, KiKit_MB_31_7, KiKit_MB_31_8, KiKit_MB_31_9, KiKit_MB_32_2, KiKit_MB_32_3, KiKit_MB_32_4, KiKit_MB_32_5, KiKit_MB_32_6, KiKit_MB_32_7, KiKit_MB_32_8, KiKit_MB_32_9",NPTH,200,NPTH,
"KiKit_MB_33_2, KiKit_MB_33_3, KiKit_MB_33_4, KiKit_MB_33_5, KiKit_MB_33_6, KiKit_MB_33_7, KiKit_MB_33_8, KiKit_MB_33_9, KiKit_MB_34_2, KiKit_MB_34_3, KiKit_MB_34_4, KiKit_MB_34_5, KiKit_MB_34_6, KiKit_MB_34_7, KiKit_MB_34_8, KiKit_MB_34_9, KiKit_MB_35_2, KiKit_MB_35_3, KiKit_MB_35_4, KiKit_MB_35_5, KiKit_MB_35_6, KiKit_MB_35_7, KiKit_MB_35_8, KiKit_MB_35_9, KiKit_MB_36_2, KiKit_MB_36_3, KiKit_MB_36_4, KiKit_MB_36_5, KiKit_MB_36_6, KiKit_MB_36_7, KiKit_MB_36_8, KiKit_MB_36_9, KiKit_MB_37_2, KiKit_MB_37_3, KiKit_MB_37_4, KiKit_MB_37_5, KiKit_MB_37_6, KiKit_MB_37_7, KiKit_MB_37_8, KiKit_MB_37_9, KiKit_MB_38_2, KiKit_MB_38_3, KiKit_MB_38_4, KiKit_MB_38_5, KiKit_MB_38_6, KiKit_MB_38_7, KiKit_MB_38_8, KiKit_MB_38_9, KiKit_MB_39_2, KiKit_MB_39_3, KiKit_MB_39_4, KiKit_MB_39_5, KiKit_MB_39_6, KiKit_MB_39_7, KiKit_MB_39_8, KiKit_MB_39_9, KiKit_MB_3_2, KiKit_MB_3_3, KiKit_MB_3_4, KiKit_MB_3_5, KiKit_MB_3_6, KiKit_MB_3_7, KiKit_MB_3_8, KiKit_MB_3_9, KiKit_MB_40_2, KiKit_MB_40_3, KiKit_MB_40_4, KiKit_MB_40_5, KiKit_MB_40_6, KiKit_MB_40_7, KiKit_MB_40_8, KiKit_MB_40_9, KiKit_MB_41_2, KiKit_MB_41_3, KiKit_MB_41_4, KiKit_MB_41_5, KiKit_MB_41_6, KiKit_MB_41_7, KiKit_MB_41_8, KiKit_MB_41_9, KiKit_MB_42_2, KiKit_MB_42_3, KiKit_MB_42_4, KiKit_MB_42_5, KiKit_MB_42_6, KiKit_MB_42_7, KiKit_MB_42_8, KiKit_MB_42_9, KiKit_MB_43_2, KiKit_MB_43_3, KiKit_MB_43_4, KiKit_MB_43_5, KiKit_MB_43_6, KiKit_MB_43_7, KiKit_MB_43_8, KiKit_MB_43_9, KiKit_MB_44_2, KiKit_MB_44_3, KiKit_MB_44_4, KiKit_MB_44_5, KiKit_MB_44_6, KiKit_MB_44_7, KiKit_MB_44_8, KiKit_MB_44_9, KiKit_MB_45_2, KiKit_MB_45_3, KiKit_MB_45_4, KiKit_MB_45_5, KiKit_MB_45_6, KiKit_MB_45_7, KiKit_MB_45_8, KiKit_MB_45_9, KiKit_MB_46_2, KiKit_MB_46_3, KiKit_MB_46_4, KiKit_MB_46_5, KiKit_MB_46_6, KiKit_MB_46_7, KiKit_MB_46_8, KiKit_MB_46_9, KiKit_MB_47_2, KiKit_MB_47_3, KiKit_MB_47_4, KiKit_MB_47_5, KiKit_MB_47_6, KiKit_MB_47_7, KiKit_MB_47_8, KiKit_MB_47_9, KiKit_MB_48_2, KiKit_MB_48_3, KiKit_MB_48_4, KiKit_MB_48_5, KiKit_MB_48_6, KiKit_MB_48_7, KiKit_MB_48_8, KiKit_MB_48_9, KiKit_MB_49_3, KiKit_MB_49_4, KiKit_MB_49_5, KiKit_MB_49_6, KiKit_MB_49_7, KiKit_MB_49_8, KiKit_MB_4_2, KiKit_MB_4_3, KiKit_MB_4_4, KiKit_MB_4_5, KiKit_MB_4_6, KiKit_MB_4_7, KiKit_MB_4_8, KiKit_MB_4_9, KiKit_MB_50_3, KiKit_MB_50_4, KiKit_MB_50_5, KiKit_MB_50_6, KiKit_MB_50_7, KiKit_MB_50_8, KiKit_MB_51_3, KiKit_MB_51_4, KiKit_MB_51_5, KiKit_MB_51_6, KiKit_MB_51_7, KiKit_MB_51_8, KiKit_MB_52_3, KiKit_MB_52_4, KiKit_MB_52_5, KiKit_MB_52_6, KiKit_MB_52_7, KiKit_MB_52_8, KiKit_MB_5_2, KiKit_MB_5_3, KiKit_MB_5_4, KiKit_MB_5_5, KiKit_MB_5_6, KiKit_MB_5_7, KiKit_MB_5_8, KiKit_MB_5_9, KiKit_MB_6_2, KiKit_MB_6_3, KiKit_MB_6_4, KiKit_MB_6_5, KiKit_MB_6_6, KiKit_MB_6_7, KiKit_MB_6_8, KiKit_MB_6_9, KiKit_MB_7_2, KiKit_MB_7_3, KiKit_MB_7_4, KiKit_MB_7_5, KiKit_MB_7_6, KiKit_MB_7_7, KiKit_MB_7_8, KiKit_MB_7_9, KiKit_MB_8_2, KiKit_MB_8_3, KiKit_MB_8_4, KiKit_MB_8_5, KiKit_MB_8_6, KiKit_MB_8_7, KiKit_MB_8_8, KiKit_MB_8_9",NPTH,200,NPTH,
"KiKit_MB_9_2, KiKit_MB_9_3, KiKit_MB_9_4, KiKit_MB_9_5, KiKit_MB_9_6, KiKit_MB_9_7, KiKit_MB_9_8, KiKit_MB_9_9",NPTH,8,NPTH,
"R1_12, R1_11, R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_12, R2_11, R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R3_12, R3_11, R3_10, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R4_12, R4_11, R4_10, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4, R5_12, R5_11, R5_10, R5_9, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5, R6_12, R6_11, R6_10, R6_9, R6_8, R6_7, R6_6, R6_5, R6_4, R6_3, R6_2, R6",0603,72,4.7k,C23162
"R10_12, R10_11, R10_10, R10_9, R10_8, R10_7, R10_6, R10_5, R10_4, R10_3, R10_2, R10, R8_12, R8_11, R8_10, R8_9, R8_8, R8_7, R8_6, R8_5, R8_4, R8_3, R8_2, R8, R9_12, R9_11, R9_10, R9_9, R9_8, R9_7, R9_6, R9_5, R9_4, R9_3, R9_2, R9",0603,36,1k,C21190
"R7_12, R7_11, R7_10, R7_9, R7_8, R7_7, R7_6, R7_5, R7_4, R7_3, R7_2, R7",0603,12,330,C23138
"SW1_12, SW1_11, SW1_10, SW1_9, SW1_8, SW1_7, SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1, SW4_12, SW4_11, SW4_10, SW4_9, SW4_8, SW4_7, SW4_6, SW4_5, SW4_4, SW4_3, SW4_2, SW4",SW_PUSH_6mm_H5mm,24,Rock,
"SW2_12, SW2_11, SW2_10, SW2_9, SW2_8, SW2_7, SW2_6, SW2_5, SW2_4, SW2_3, SW2_2, SW2, SW5_12, SW5_11, SW5_10, SW5_9, SW5_8, SW5_7, SW5_6, SW5_5, SW5_4, SW5_3, SW5_2, SW5",SW_PUSH_6mm_H5mm,24,Scissors,
"SW3_12, SW3_11, SW3_10, SW3_9, SW3_8, SW3_7, SW3_6, SW3_5, SW3_4, SW3_3, SW3_2, SW3, SW6_12, SW6_11, SW6_10, SW6_9, SW6_8, SW6_7, SW6_6, SW6_5, SW6_4, SW6_3, SW6_2, SW6",SW_PUSH_6mm_H5mm,24,Paper,
"SW7_12, SW7_11, SW7_10, SW7_9, SW7_8, SW7_7, SW7_6, SW7_5, SW7_4, SW7_3, SW7_2, SW7",SW_SPDT_PCM12,12,Power,C109335
"U1_12, U1_11, U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1, U2_12, U2_11, U2_10, U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2, U3_12, U3_11, U3_10, U3_9, U3_8, U3_7, U3_6, U3_5, U3_4, U3_3, U3_2, U3",SO-14_3.9x8.65mm_P1.27mm,36,74HC00,C10090
"U4_12, U4_11, U4_10, U4_9, U4_8, U4_7, U4_6, U4_5, U4_4, U4_3, U4_2, U4",SO-14_3.9x8.65mm_P1.27mm,12,74HC10,C6816
