Designator,Mid X,Mid Y,Rotation,Layer
BT1_12,27,-95,0,top
BT1_11,85,-95,0,top
BT1_10,143,-171,0,top
BT1_9,143,-19,0,top
BT1_8,143,-95,0,top
BT1_7,201,-95,0,top
BT1_6,27,-171,0,top
BT1_5,85,-19,0,top
BT1_4,201,-19,0,top
BT1_3,85,-171,0,top
BT1_2,201,-171,0,top
BT1,27,-19,0,top
C1_12,156.08,-187.97,90,top
C1_11,98.08,-187.97,90,top
C1_10,214.08,-111.97,90,top
C1_9,40.08,-187.97,90,top
C1_8,214.08,-187.97,90,top
C1_7,98.08,-111.97,90,top
C1_6,40.08,-35.97,90,top
C1_5,156.08,-35.97,90,top
C1_4,156.08,-111.97,90,top
C1_3,98.08,-35.97,90,top
C1_2,40.08,-111.97,90,top
C1,214.08,-35.97,90,top
C2_12,156.08,-122.765,90,top
C2_11,156.08,-46.765,90,top
C2_10,214.08,-46.765,90,top
C2_9,156.08,-198.765,90,top
C2_8,40.08,-198.765,90,top
C2_7,214.08,-198.765,90,top
C2_6,214.08,-122.765,90,top
C2_5,98.08,-46.765,90,top
C2_4,98.08,-122.765,90,top
C2_3,98.08,-198.765,90,top
C2_2,40.08,-46.765,90,top
C2,40.08,-122.765,90,top
C3_12,40.08,-134.195,90,top
C3_11,214.08,-210.195,90,top
C3_10,98.08,-134.195,90,top
C3_9,98.08,-210.195,90,top
C3_8,214.08,-58.195,90,top
C3_7,156.08,-134.195,90,top
C3_6,156.08,-210.195,90,top
C3_5,40.08,-58.195,90,top
C3_4,98.08,-58.195,90,top
C3_3,214.08,-134.195,90,top
C3_2,40.08,-210.195,90,top
C3,156.08,-58.195,90,top
C4_12,156.08,-145.625,90,top
C4_11,156.08,-69.625,90,top
C4_10,98.08,-221.625,90,top
C4_9,214.08,-145.625,90,top
C4_8,40.08,-145.625,90,top
C4_7,156.08,-221.625,90,top
C4_6,214.08,-221.625,90,top
C4_5,40.08,-221.625,90,top
C4_4,98.08,-145.625,90,top
C4_3,214.08,-69.625,90,top
C4_2,40.08,-69.625,90,top
C4,98.08,-69.625,90,top
D1_12,27,-153,0,top
D1_11,85,-77,0,top
D1_10,201,-77,0,top
D1_9,201,-229,0,top
D1_8,27,-229,0,top
D1_7,27,-77,0,top
D1_6,143,-77,0,top
D1_5,143,-153,0,top
D1_4,85,-153,0,top
D1_3,85,-229,0,top
D1_2,143,-229,0,top
D1,201,-153,0,top
D2_12,35,-77,0,top
D2_11,35,-229,0,top
D2_10,209,-77,0,top
D2_9,93,-77,0,top
D2_8,35,-153,0,top
D2_7,151,-229,0,top
D2_6,209,-229,0,top
D2_5,209,-153,0,top
D2_4,93,-229,0,top
D2_3,93,-153,0,top
D2_2,151,-153,0,top
D2,151,-77,0,top
D3_12,101,-153,0,top
D3_11,43,-77,0,top
D3_10,217,-229,0,top
D3_9,101,-229,0,top
D3_8,217,-77,0,top
D3_7,43,-153,0,top
D3_6,43,-229,0,top
D3_5,159,-77,0,top
D3_4,159,-229,0,top
D3_3,217,-153,0,top
D3_2,159,-153,0,top
D3,101,-77,0,top
D4_12,51.2125,-18,180,top
D4_11,51.2125,-170,180,top
D4_10,109.2125,-94,180,top
D4_9,225.2125,-170,180,top
D4_8,109.2125,-18,180,top
D4_7,225.2125,-94,180,top
D4_6,109.2125,-170,180,top
D4_5,225.2125,-18,180,top
D4_4,51.2125,-94,180,top
D4_3,167.2125,-170,180,top
D4_2,167.2125,-94,180,top
D4,167.2125,-18,180,top
R1_12,194.395,-107.475,90,top
R1_11,136.395,-183.475,90,top
R1_10,20.395,-107.475,90,top
R1_9,194.395,-31.475,90,top
R1_8,136.395,-107.475,90,top
R1_7,78.395,-183.475,90,top
R1_6,136.395,-31.475,90,top
R1_5,78.395,-107.475,90,top
R1_4,194.395,-183.475,90,top
R1_3,78.395,-31.475,90,top
R1_2,20.395,-31.475,90,top
R1,20.395,-183.475,90,top
R10_12,51.175,-96.5,180,top
R10_11,109.175,-172.5,180,top
R10_10,51.175,-172.5,180,top
R10_9,225.175,-96.5,180,top
R10_8,167.175,-96.5,180,top
R10_7,109.175,-96.5,180,top
R10_6,109.175,-20.5,180,top
R10_5,167.175,-20.5,180,top
R10_4,225.175,-20.5,180,top
R10_3,167.175,-172.5,180,top
R10_2,51.175,-20.5,180,top
R10,225.175,-172.5,180,top
R2_12,192.49,-183.475,90,top
R2_11,192.49,-107.475,90,top
R2_10,134.49,-31.475,90,top
R2_9,18.49,-107.475,90,top
R2_8,76.49,-31.475,90,top
R2_7,18.49,-183.475,90,top
R2_6,76.49,-107.475,90,top
